Title,Company,Location,Link,Keyword,City
IT Consultant Insurance  Versicherung Digitalisierung BiPRO  bis 60 HomeOffice,Vesterling AG,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-consultant-insurance-versicherung-digitalisierung-bipro-bis-60%25-homeoffice-mwd-at-vesterling-ag-4228457905?position=47&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=w%2FZFMdO7v9HIF0aaSDAQyg%3D%3D,Systemadministrator,Leipzig
Software Architect ITOT Industrie 40 für die Prozessindustrie,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/software-architect-it-ot-industrie-4-0-f%C3%BCr-die-prozessindustrie-at-adesso-se-4256546481?position=48&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=YV%2FP4y1iy23psn5ptJkmfg%3D%3D,Systemadministrator,Leipzig
Strategischer Einkäufer  Technischer Einkauf Labor Anlagenbau IT,DBFZ Deutsches Biomasseforschungszentrum gemeinnützige GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/strategischer-eink%C3%A4ufer-m-w-d-%E2%80%9Etechnischer-einkauf-labor-anlagenbau-it-at-dbfz-deutsches-biomasseforschungszentrum-gemeinn%C3%BCtzige-gmbh-4266937048?position=49&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=8b8Rkk1G8XZJOtcUqIBC7g%3D%3D,Systemadministrator,Leipzig
Praktikum  Werkstudent IT-Beratung Public Sector,PwC Deutschland,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-werkstudent-it-beratung-public-sector-w-m-d-at-pwc-deutschland-4269427180?position=50&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=BQfZRMmufRK9ZpQM69335Q%3D%3D,Systemadministrator,Leipzig
IT-Systemadministrator,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-systemadministrator-m-w-d-at-tietalent-4267662858?position=51&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=qjPFqSx%2BUyl9BzfZImiV0Q%3D%3D,Systemadministrator,Leipzig
IT-Architekt E-Mail Communications,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-architekt-e-mail-communications-m-w-d-at-tietalent-4270426062?position=55&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=nQ2a7LyjT%2BDfAAchFO%2F4Sw%3D%3D,Systemadministrator,Leipzig
IT-Sicherheitskoordinator Digitale Bürgerservices,Dataport AöR,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/it-sicherheitskoordinator-digitale-b%C3%BCrgerservices-w-m-d-at-dataport-a%C3%B6r-4267200637?position=56&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=e%2FAufHef1kZYCralYaeuAg%3D%3D,Systemadministrator,Leipzig
Elektroinstallateur  mit Schwerpunkt IT-Systeme,SCHILLING GROUP,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/elektroinstallateur-m-w-d-mit-schwerpunkt-it-systeme-at-schilling-group-4266946551?position=58&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=ldUN2UBhHV1Rz45DFEH5cQ%3D%3D,Systemadministrator,Leipzig
IT-Sicherheitskoordinator im Rechenzentrumsbetrieb für das Steuerwesen,Dataport AöR,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/it-sicherheitskoordinator-im-rechenzentrumsbetrieb-f%C3%BCr-das-steuerwesen-w-m-d-at-dataport-a%C3%B6r-4267202650?position=59&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=ddEFe7WRLBgHz1tJcNcHRA%3D%3D,Systemadministrator,Leipzig
Ausbildung Fachinformatiker Fachrichtung Systemintegration,DEUTZ AG,"Cologne, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/ausbildung-fachinformatiker-fachrichtung-systemintegration-m-w-d-at-deutz-ag-4263055704?position=20&pageNum=0&refId=xbf5gxxdvMlT1g9oWUhgeA%3D%3D&trackingId=HzV%2FH9lqWVlesdTLWxHfog%3D%3D,Fachinformatiker Systemintegration,Cologne
